year,month,country,syndrome,confirmed_cases,deaths,case_fatality_rate
2015,12,Finland,HFRS,260,1,0.0038
2015,12,Germany,HFRS,15,0,0.0
2016,1,Argentina,HPS,10,2,0.2
2016,1,Chile,HPS,2,0,0.0
2016,1,Brazil,HPS,3,1,0.3333
2016,1,USA,HPS,1,0,0.0
2016,1,China,HFRS,2929,9,0.0031
2016,1,Finland,HFRS,270,1,0.0037
2016,1,Germany,HFRS,37,0,0.0
2016,2,Argentina,HPS,8,2,0.25
2016,2,Chile,HPS,4,1,0.25
2016,2,Brazil,HPS,1,0,0.0
2016,2,USA,HPS,1,0,0.0
2016,2,China,HFRS,605,5,0.0083
2016,2,Finland,HFRS,66,0,0.0
2016,2,Germany,HFRS,14,0,0.0
2016,3,Argentina,HPS,7,2,0.2857
2016,3,Chile,HPS,4,1,0.25
2016,3,Brazil,HPS,1,0,0.0
2016,3,USA,HPS,0,0,0.0
2016,3,China,HFRS,678,1,0.0015
2016,3,Finland,HFRS,75,0,0.0
2016,3,Germany,HFRS,19,0,0.0
2016,4,Argentina,HPS,38,11,0.2895
2016,4,Chile,HPS,18,4,0.2222
2016,4,Brazil,HPS,6,1,0.1667
2016,4,USA,HPS,1,0,0.0
2016,4,China,HFRS,816,4,0.0049
2016,4,Finland,HFRS,29,0,0.0
2016,4,Germany,HFRS,46,0,0.0
2016,5,Argentina,HPS,37,10,0.2703
2016,5,Chile,HPS,11,2,0.1818
2016,5,Brazil,HPS,30,10,0.3333
2016,5,USA,HPS,8,2,0.25
2016,5,China,HFRS,2512,18,0.0072
2016,5,Finland,HFRS,50,0,0.0
2016,5,Germany,HFRS,215,1,0.0047
2016,6,Argentina,HPS,35,10,0.2857
2016,6,Chile,HPS,9,3,0.3333
2016,6,Brazil,HPS,7,2,0.2857
2016,6,USA,HPS,6,2,0.3333
2016,6,China,HFRS,3572,16,0.0045
2016,6,Finland,HFRS,52,0,0.0
2016,6,Germany,HFRS,127,0,0.0
2016,7,Argentina,HPS,22,8,0.3636
2016,7,Chile,HPS,21,5,0.2381
2016,7,Brazil,HPS,16,6,0.375
2016,7,USA,HPS,2,0,0.0
2016,7,China,HFRS,301,2,0.0066
2016,7,Finland,HFRS,36,0,0.0
2016,7,Germany,HFRS,128,0,0.0
2016,8,Argentina,HPS,4,1,0.25
2016,8,Chile,HPS,16,5,0.3125
2016,8,Brazil,HPS,25,8,0.32
2016,8,USA,HPS,1,0,0.0
2016,8,China,HFRS,700,1,0.0014
2016,8,Finland,HFRS,24,0,0.0
2016,8,Germany,HFRS,166,0,0.0
2016,9,Argentina,HPS,5,1,0.2
2016,9,Chile,HPS,4,1,0.25
2016,9,Brazil,HPS,3,1,0.3333
2016,9,USA,HPS,0,0,0.0
2016,9,China,HFRS,316,1,0.0032
2016,9,Finland,HFRS,60,0,0.0
2016,9,Germany,HFRS,17,0,0.0
2016,10,Argentina,HPS,6,1,0.1667
2016,10,Chile,HPS,3,0,0.0
2016,10,Brazil,HPS,5,1,0.2
2016,10,USA,HPS,0,0,0.0
2016,10,China,HFRS,559,5,0.0089
2016,10,Finland,HFRS,220,1,0.0045
2016,10,Germany,HFRS,39,0,0.0
2016,11,Argentina,HPS,9,3,0.3333
2016,11,Chile,HPS,3,1,0.3333
2016,11,Brazil,HPS,4,1,0.25
2016,11,USA,HPS,0,0,0.0
2016,11,China,HFRS,3042,8,0.0026
2016,11,Finland,HFRS,301,1,0.0033
2016,11,Germany,HFRS,16,0,0.0
2016,12,Argentina,HPS,4,1,0.25
2016,12,Chile,HPS,3,1,0.3333
2016,12,Brazil,HPS,1,0,0.0
2016,12,USA,HPS,1,0,0.0
2016,12,China,HFRS,1283,8,0.0062
2016,12,Finland,HFRS,203,1,0.0049
2016,12,Germany,HFRS,46,0,0.0
2017,1,Argentina,HPS,4,1,0.25
2017,1,Chile,HPS,3,0,0.0
2017,1,Brazil,HPS,1,0,0.0
2017,1,USA,HPS,1,0,0.0
2017,1,China,HFRS,1434,9,0.0063
2017,1,Finland,HFRS,188,1,0.0053
2017,1,Germany,HFRS,27,0,0.0
2017,2,Argentina,HPS,9,2,0.2222
2017,2,Chile,HPS,2,0,0.0
2017,2,Brazil,HPS,6,1,0.1667
2017,2,USA,HPS,0,0,0.0
2017,2,China,HFRS,505,2,0.004
2017,2,Finland,HFRS,94,0,0.0
2017,2,Germany,HFRS,28,0,0.0
2017,3,Argentina,HPS,9,2,0.2222
2017,3,Chile,HPS,3,0,0.0
2017,3,Brazil,HPS,7,1,0.1429
2017,3,USA,HPS,2,0,0.0
2017,3,China,HFRS,549,1,0.0018
2017,3,Finland,HFRS,63,0,0.0
2017,3,Germany,HFRS,18,0,0.0
2017,4,Argentina,HPS,43,14,0.3256
2017,4,Chile,HPS,17,4,0.2353
2017,4,Brazil,HPS,4,1,0.25
2017,4,USA,HPS,1,0,0.0
2017,4,China,HFRS,636,1,0.0016
2017,4,Finland,HFRS,53,0,0.0
2017,4,Germany,HFRS,28,0,0.0
2017,5,Argentina,HPS,38,12,0.3158
2017,5,Chile,HPS,11,3,0.2727
2017,5,Brazil,HPS,9,2,0.2222
2017,5,USA,HPS,4,1,0.25
2017,5,China,HFRS,2642,6,0.0023
2017,5,Finland,HFRS,57,0,0.0
2017,5,Germany,HFRS,77,0,0.0
2017,6,Argentina,HPS,11,3,0.2727
2017,6,Chile,HPS,7,2,0.2857
2017,6,Brazil,HPS,20,5,0.25
2017,6,USA,HPS,5,1,0.2
2017,6,China,HFRS,3482,13,0.0037
2017,6,Finland,HFRS,98,0,0.0
2017,6,Germany,HFRS,210,1,0.0048
2017,7,Argentina,HPS,32,9,0.2812
2017,7,Chile,HPS,18,5,0.2778
2017,7,Brazil,HPS,23,7,0.3043
2017,7,USA,HPS,7,2,0.2857
2017,7,China,HFRS,290,2,0.0069
2017,7,Finland,HFRS,69,0,0.0
2017,7,Germany,HFRS,125,0,0.0
2017,8,Argentina,HPS,10,2,0.2
2017,8,Chile,HPS,19,6,0.3158
2017,8,Brazil,HPS,19,5,0.2632
2017,8,USA,HPS,1,0,0.0
2017,8,China,HFRS,218,0,0.0
2017,8,Finland,HFRS,24,0,0.0
2017,8,Germany,HFRS,219,1,0.0046
2017,9,Argentina,HPS,8,2,0.25
2017,9,Chile,HPS,4,1,0.25
2017,9,Brazil,HPS,7,2,0.2857
2017,9,USA,HPS,1,0,0.0
2017,9,China,HFRS,857,1,0.0012
2017,9,Finland,HFRS,74,0,0.0
2017,9,Germany,HFRS,40,0,0.0
2017,10,Argentina,HPS,10,2,0.2
2017,10,Chile,HPS,3,0,0.0
2017,10,Brazil,HPS,3,0,0.0
2017,10,USA,HPS,1,0,0.0
2017,10,China,HFRS,306,1,0.0033
2017,10,Finland,HFRS,365,3,0.0082
2017,10,Germany,HFRS,15,0,0.0
2017,11,Argentina,HPS,3,0,0.0
2017,11,Chile,HPS,3,1,0.3333
2017,11,Brazil,HPS,2,0,0.0
2017,11,USA,HPS,0,0,0.0
2017,11,China,HFRS,3529,10,0.0028
2017,11,Finland,HFRS,181,1,0.0055
2017,11,Germany,HFRS,50,0,0.0
2017,12,Argentina,HPS,2,0,0.0
2017,12,Chile,HPS,3,0,0.0
2017,12,Brazil,HPS,1,0,0.0
2017,12,USA,HPS,0,0,0.0
2017,12,China,HFRS,1658,3,0.0018
2017,12,Finland,HFRS,305,1,0.0033
2017,12,Germany,HFRS,52,0,0.0
2018,1,Argentina,HPS,4,1,0.25
2018,1,Chile,HPS,2,0,0.0
2018,1,Brazil,HPS,3,0,0.0
2018,1,USA,HPS,0,0,0.0
2018,1,China,HFRS,3130,26,0.0083
2018,1,Finland,HFRS,178,0,0.0
2018,1,Germany,HFRS,46,0,0.0
2018,2,Argentina,HPS,3,0,0.0
2018,2,Chile,HPS,2,0,0.0
2018,2,Brazil,HPS,2,0,0.0
2018,2,USA,HPS,1,0,0.0
2018,2,China,HFRS,522,2,0.0038
2018,2,Finland,HFRS,52,0,0.0
2018,2,Germany,HFRS,34,0,0.0
2018,3,Argentina,HPS,7,2,0.2857
2018,3,Chile,HPS,4,1,0.25
2018,3,Brazil,HPS,2,0,0.0
2018,3,USA,HPS,1,0,0.0
2018,3,China,HFRS,648,1,0.0015
2018,3,Finland,HFRS,26,0,0.0
2018,3,Germany,HFRS,41,0,0.0
2018,4,Argentina,HPS,32,9,0.2812
2018,4,Chile,HPS,20,7,0.35
2018,4,Brazil,HPS,3,0,0.0
2018,4,USA,HPS,1,0,0.0
2018,4,China,HFRS,643,5,0.0078
2018,4,Finland,HFRS,80,0,0.0
2018,4,Germany,HFRS,28,0,0.0
2018,5,Argentina,HPS,35,10,0.2857
2018,5,Chile,HPS,16,4,0.25
2018,5,Brazil,HPS,8,3,0.375
2018,5,USA,HPS,3,1,0.3333
2018,5,China,HFRS,3536,29,0.0082
2018,5,Finland,HFRS,79,0,0.0
2018,5,Germany,HFRS,201,0,0.0
2018,6,Argentina,HPS,26,8,0.3077
2018,6,Chile,HPS,12,3,0.25
2018,6,Brazil,HPS,15,5,0.3333
2018,6,USA,HPS,7,1,0.1429
2018,6,China,HFRS,3416,25,0.0073
2018,6,Finland,HFRS,93,0,0.0
2018,6,Germany,HFRS,186,0,0.0
2018,7,Argentina,HPS,38,9,0.2368
2018,7,Chile,HPS,20,7,0.35
2018,7,Brazil,HPS,14,3,0.2143
2018,7,USA,HPS,7,2,0.2857
2018,7,China,HFRS,773,2,0.0026
2018,7,Finland,HFRS,34,0,0.0
2018,7,Germany,HFRS,167,1,0.006
2018,8,Argentina,HPS,5,1,0.2
2018,8,Chile,HPS,15,5,0.3333
2018,8,Brazil,HPS,23,7,0.3043
2018,8,USA,HPS,1,0,0.0
2018,8,China,HFRS,708,2,0.0028
2018,8,Finland,HFRS,82,0,0.0
2018,8,Germany,HFRS,159,1,0.0063
2018,9,Argentina,HPS,4,1,0.25
2018,9,Chile,HPS,1,0,0.0
2018,9,Brazil,HPS,6,1,0.1667
2018,9,USA,HPS,1,0,0.0
2018,9,China,HFRS,513,4,0.0078
2018,9,Finland,HFRS,51,0,0.0
2018,9,Germany,HFRS,12,0,0.0
2018,10,Argentina,HPS,4,1,0.25
2018,10,Chile,HPS,3,0,0.0
2018,10,Brazil,HPS,4,1,0.25
2018,10,USA,HPS,0,0,0.0
2018,10,China,HFRS,840,2,0.0024
2018,10,Finland,HFRS,411,2,0.0049
2018,10,Germany,HFRS,35,0,0.0
2018,11,Argentina,HPS,2,0,0.0
2018,11,Chile,HPS,3,0,0.0
2018,11,Brazil,HPS,7,2,0.2857
2018,11,USA,HPS,0,0,0.0
2018,11,China,HFRS,1621,10,0.0062
2018,11,Finland,HFRS,344,3,0.0087
2018,11,Germany,HFRS,45,0,0.0
2018,12,Argentina,HPS,8,3,0.375
2018,12,Chile,HPS,2,0,0.0
2018,12,Brazil,HPS,3,0,0.0
2018,12,USA,HPS,1,0,0.0
2018,12,China,HFRS,2461,5,0.002
2018,12,Finland,HFRS,355,1,0.0028
2018,12,Germany,HFRS,39,0,0.0
2019,1,Argentina,HPS,5,1,0.2
2019,1,Chile,HPS,1,0,0.0
2019,1,Brazil,HPS,7,2,0.2857
2019,1,USA,HPS,0,0,0.0
2019,1,China,HFRS,2841,23,0.0081
2019,1,Finland,HFRS,141,0,0.0
2019,1,Germany,HFRS,41,0,0.0
2019,2,Argentina,HPS,4,1,0.25
2019,2,Chile,HPS,3,1,0.3333
2019,2,Brazil,HPS,7,2,0.2857
2019,2,USA,HPS,1,0,0.0
2019,2,China,HFRS,560,2,0.0036
2019,2,Finland,HFRS,74,0,0.0
2019,2,Germany,HFRS,22,0,0.0
2019,3,Argentina,HPS,5,1,0.2
2019,3,Chile,HPS,1,0,0.0
2019,3,Brazil,HPS,4,1,0.25
2019,3,USA,HPS,1,0,0.0
2019,3,China,HFRS,583,4,0.0069
2019,3,Finland,HFRS,51,0,0.0
2019,3,Germany,HFRS,28,0,0.0
2019,4,Argentina,HPS,33,9,0.2727
2019,4,Chile,HPS,7,2,0.2857
2019,4,Brazil,HPS,2,0,0.0
2019,4,USA,HPS,1,0,0.0
2019,4,China,HFRS,698,6,0.0086
2019,4,Finland,HFRS,65,0,0.0
2019,4,Germany,HFRS,38,0,0.0
2019,5,Argentina,HPS,10,2,0.2
2019,5,Chile,HPS,12,4,0.3333
2019,5,Brazil,HPS,27,7,0.2593
2019,5,USA,HPS,2,0,0.0
2019,5,China,HFRS,1102,6,0.0054
2019,5,Finland,HFRS,73,0,0.0
2019,5,Germany,HFRS,65,0,0.0
2019,6,Argentina,HPS,13,4,0.3077
2019,6,Chile,HPS,14,3,0.2143
2019,6,Brazil,HPS,22,8,0.3636
2019,6,USA,HPS,2,0,0.0
2019,6,China,HFRS,2730,10,0.0037
2019,6,Finland,HFRS,49,0,0.0
2019,6,Germany,HFRS,207,1,0.0048
2019,7,Argentina,HPS,30,10,0.3333
2019,7,Chile,HPS,11,3,0.2727
2019,7,Brazil,HPS,18,5,0.2778
2019,7,USA,HPS,6,2,0.3333
2019,7,China,HFRS,432,4,0.0093
2019,7,Finland,HFRS,25,0,0.0
2019,7,Germany,HFRS,59,0,0.0
2019,8,Argentina,HPS,8,2,0.25
2019,8,Chile,HPS,16,4,0.25
2019,8,Brazil,HPS,25,7,0.28
2019,8,USA,HPS,1,0,0.0
2019,8,China,HFRS,360,1,0.0028
2019,8,Finland,HFRS,73,0,0.0
2019,8,Germany,HFRS,116,0,0.0
2019,9,Argentina,HPS,5,1,0.2
2019,9,Chile,HPS,1,0,0.0
2019,9,Brazil,HPS,7,2,0.2857
2019,9,USA,HPS,1,0,0.0
2019,9,China,HFRS,269,2,0.0074
2019,9,Finland,HFRS,58,0,0.0
2019,9,Germany,HFRS,39,0,0.0
2019,10,Argentina,HPS,7,1,0.1429
2019,10,Chile,HPS,4,1,0.25
2019,10,Brazil,HPS,5,1,0.2
2019,10,USA,HPS,0,0,0.0
2019,10,China,HFRS,596,3,0.005
2019,10,Finland,HFRS,240,1,0.0042
2019,10,Germany,HFRS,17,0,0.0
2019,11,Argentina,HPS,3,1,0.3333
2019,11,Chile,HPS,2,0,0.0
2019,11,Brazil,HPS,4,1,0.25
2019,11,USA,HPS,1,0,0.0
2019,11,China,HFRS,1767,14,0.0079
2019,11,Finland,HFRS,289,0,0.0
2019,11,Germany,HFRS,35,0,0.0
2019,12,Argentina,HPS,5,1,0.2
2019,12,Chile,HPS,1,0,0.0
2019,12,Brazil,HPS,4,1,0.25
2019,12,USA,HPS,0,0,0.0
2019,12,China,HFRS,2914,19,0.0065
2019,12,Finland,HFRS,389,1,0.0026
2019,12,Germany,HFRS,32,0,0.0
2020,1,Argentina,HPS,9,3,0.3333
2020,1,Chile,HPS,2,0,0.0
2020,1,Brazil,HPS,2,0,0.0
2020,1,USA,HPS,2,0,0.0
2020,1,China,HFRS,2821,6,0.0021
2020,1,Finland,HFRS,241,1,0.0041
2020,1,Germany,HFRS,36,0,0.0
2020,2,Argentina,HPS,8,2,0.25
2020,2,Chile,HPS,4,1,0.25
2020,2,Brazil,HPS,1,0,0.0
2020,2,USA,HPS,0,0,0.0
2020,2,China,HFRS,380,1,0.0026
2020,2,Finland,HFRS,60,0,0.0
2020,2,Germany,HFRS,27,0,0.0
2020,3,Argentina,HPS,7,2,0.2857
2020,3,Chile,HPS,2,0,0.0
2020,3,Brazil,HPS,4,1,0.25
2020,3,USA,HPS,1,0,0.0
2020,3,China,HFRS,587,2,0.0034
2020,3,Finland,HFRS,91,0,0.0
2020,3,Germany,HFRS,46,0,0.0
2020,4,Argentina,HPS,37,12,0.3243
2020,4,Chile,HPS,12,4,0.3333
2020,4,Brazil,HPS,4,1,0.25
2020,4,USA,HPS,0,0,0.0
2020,4,China,HFRS,576,2,0.0035
2020,4,Finland,HFRS,29,0,0.0
2020,4,Germany,HFRS,44,0,0.0
2020,5,Argentina,HPS,17,5,0.2941
2020,5,Chile,HPS,6,1,0.1667
2020,5,Brazil,HPS,11,3,0.2727
2020,5,USA,HPS,3,0,0.0
2020,5,China,HFRS,943,4,0.0042
2020,5,Finland,HFRS,66,0,0.0
2020,5,Germany,HFRS,116,1,0.0086
2020,6,Argentina,HPS,15,4,0.2667
2020,6,Chile,HPS,6,1,0.1667
2020,6,Brazil,HPS,21,7,0.3333
2020,6,USA,HPS,8,2,0.25
2020,6,China,HFRS,3487,8,0.0023
2020,6,Finland,HFRS,32,0,0.0
2020,6,Germany,HFRS,82,0,0.0
2020,7,Argentina,HPS,32,8,0.25
2020,7,Chile,HPS,21,7,0.3333
2020,7,Brazil,HPS,14,3,0.2143
2020,7,USA,HPS,3,0,0.0
2020,7,China,HFRS,274,1,0.0036
2020,7,Finland,HFRS,44,0,0.0
2020,7,Germany,HFRS,223,1,0.0045
2020,8,Argentina,HPS,10,2,0.2
2020,8,Chile,HPS,11,3,0.2727
2020,8,Brazil,HPS,8,2,0.25
2020,8,USA,HPS,1,0,0.0
2020,8,China,HFRS,468,2,0.0043
2020,8,Finland,HFRS,58,0,0.0
2020,8,Germany,HFRS,108,0,0.0
2020,9,Argentina,HPS,3,1,0.3333
2020,9,Chile,HPS,3,1,0.3333
2020,9,Brazil,HPS,3,0,0.0
2020,9,USA,HPS,0,0,0.0
2020,9,China,HFRS,312,2,0.0064
2020,9,Finland,HFRS,80,0,0.0
2020,9,Germany,HFRS,31,0,0.0
2020,10,Argentina,HPS,3,0,0.0
2020,10,Chile,HPS,2,0,0.0
2020,10,Brazil,HPS,7,2,0.2857
2020,10,USA,HPS,1,0,0.0
2020,10,China,HFRS,342,1,0.0029
2020,10,Finland,HFRS,243,2,0.0082
2020,10,Germany,HFRS,19,0,0.0
2020,11,Argentina,HPS,5,1,0.2
2020,11,Chile,HPS,2,0,0.0
2020,11,Brazil,HPS,6,2,0.3333
2020,11,USA,HPS,1,0,0.0
2020,11,China,HFRS,2737,8,0.0029
2020,11,Finland,HFRS,245,1,0.0041
2020,11,Germany,HFRS,28,0,0.0
2020,12,Argentina,HPS,10,2,0.2
2020,12,Chile,HPS,4,1,0.25
2020,12,Brazil,HPS,2,0,0.0
2020,12,USA,HPS,2,0,0.0
2020,12,China,HFRS,3339,33,0.0099
2020,12,Finland,HFRS,172,0,0.0
2020,12,Germany,HFRS,40,0,0.0
2021,1,Argentina,HPS,5,1,0.2
2021,1,Chile,HPS,3,1,0.3333
2021,1,Brazil,HPS,2,0,0.0
2021,1,USA,HPS,1,0,0.0
2021,1,China,HFRS,1388,11,0.0079
2021,1,Finland,HFRS,108,0,0.0
2021,1,Germany,HFRS,44,0,0.0
2021,2,Argentina,HPS,4,1,0.25
2021,2,Chile,HPS,3,1,0.3333
2021,2,Brazil,HPS,6,2,0.3333
2021,2,USA,HPS,1,0,0.0
2021,2,China,HFRS,367,1,0.0027
2021,2,Finland,HFRS,74,0,0.0
2021,2,Germany,HFRS,24,0,0.0
2021,3,Argentina,HPS,6,1,0.1667
2021,3,Chile,HPS,4,1,0.25
2021,3,Brazil,HPS,5,1,0.2
2021,3,USA,HPS,0,0,0.0
2021,3,China,HFRS,253,1,0.004
2021,3,Finland,HFRS,70,0,0.0
2021,3,Germany,HFRS,33,0,0.0
2021,4,Argentina,HPS,16,4,0.25
2021,4,Chile,HPS,20,6,0.3
2021,4,Brazil,HPS,6,2,0.3333
2021,4,USA,HPS,1,0,0.0
2021,4,China,HFRS,695,6,0.0086
2021,4,Finland,HFRS,72,0,0.0
2021,4,Germany,HFRS,23,0,0.0
2021,5,Argentina,HPS,18,5,0.2778
2021,5,Chile,HPS,14,4,0.2857
2021,5,Brazil,HPS,17,5,0.2941
2021,5,USA,HPS,2,0,0.0
2021,5,China,HFRS,1281,7,0.0055
2021,5,Finland,HFRS,41,0,0.0
2021,5,Germany,HFRS,120,1,0.0083
2021,6,Argentina,HPS,10,3,0.3
2021,6,Chile,HPS,16,5,0.3125
2021,6,Brazil,HPS,29,7,0.2414
2021,6,USA,HPS,3,1,0.3333
2021,6,China,HFRS,2083,13,0.0062
2021,6,Finland,HFRS,79,0,0.0
2021,6,Germany,HFRS,213,2,0.0094
2021,7,Argentina,HPS,35,10,0.2857
2021,7,Chile,HPS,20,5,0.25
2021,7,Brazil,HPS,12,4,0.3333
2021,7,USA,HPS,3,0,0.0
2021,7,China,HFRS,284,2,0.007
2021,7,Finland,HFRS,66,0,0.0
2021,7,Germany,HFRS,91,0,0.0
2021,8,Argentina,HPS,8,2,0.25
2021,8,Chile,HPS,12,3,0.25
2021,8,Brazil,HPS,30,10,0.3333
2021,8,USA,HPS,2,0,0.0
2021,8,China,HFRS,717,5,0.007
2021,8,Finland,HFRS,82,0,0.0
2021,8,Germany,HFRS,118,0,0.0
2021,9,Argentina,HPS,8,2,0.25
2021,9,Chile,HPS,3,0,0.0
2021,9,Brazil,HPS,4,1,0.25
2021,9,USA,HPS,1,0,0.0
2021,9,China,HFRS,692,2,0.0029
2021,9,Finland,HFRS,58,0,0.0
2021,9,Germany,HFRS,20,0,0.0
2021,10,Argentina,HPS,10,3,0.3
2021,10,Chile,HPS,4,1,0.25
2021,10,Brazil,HPS,6,1,0.1667
2021,10,USA,HPS,2,0,0.0
2021,10,China,HFRS,419,1,0.0024
2021,10,Finland,HFRS,270,0,0.0
2021,10,Germany,HFRS,22,0,0.0
2021,11,Argentina,HPS,9,3,0.3333
2021,11,Chile,HPS,2,0,0.0
2021,11,Brazil,HPS,6,2,0.3333
2021,11,USA,HPS,0,0,0.0
2021,11,China,HFRS,3446,25,0.0073
2021,11,Finland,HFRS,216,1,0.0046
2021,11,Germany,HFRS,39,0,0.0
2021,12,Argentina,HPS,3,0,0.0
2021,12,Chile,HPS,4,1,0.25
2021,12,Brazil,HPS,2,0,0.0
2021,12,USA,HPS,1,0,0.0
2021,12,China,HFRS,2905,24,0.0083
2021,12,Finland,HFRS,431,1,0.0023
2021,12,Germany,HFRS,48,0,0.0
2022,1,Argentina,HPS,8,2,0.25
2022,1,Chile,HPS,4,1,0.25
2022,1,Brazil,HPS,6,1,0.1667
2022,1,USA,HPS,0,0,0.0
2022,1,China,HFRS,2131,18,0.0084
2022,1,Finland,HFRS,234,0,0.0
2022,1,Germany,HFRS,47,0,0.0
2022,2,Argentina,HPS,3,1,0.3333
2022,2,Chile,HPS,3,1,0.3333
2022,2,Brazil,HPS,4,1,0.25
2022,2,USA,HPS,1,0,0.0
2022,2,China,HFRS,262,2,0.0076
2022,2,Finland,HFRS,80,0,0.0
2022,2,Germany,HFRS,27,0,0.0
2022,3,Argentina,HPS,8,2,0.25
2022,3,Chile,HPS,2,0,0.0
2022,3,Brazil,HPS,1,0,0.0
2022,3,USA,HPS,1,0,0.0
2022,3,China,HFRS,373,1,0.0027
2022,3,Finland,HFRS,103,0,0.0
2022,3,Germany,HFRS,44,0,0.0
2022,4,Argentina,HPS,14,3,0.2143
2022,4,Chile,HPS,14,5,0.3571
2022,4,Brazil,HPS,3,0,0.0
2022,4,USA,HPS,1,0,0.0
2022,4,China,HFRS,488,4,0.0082
2022,4,Finland,HFRS,66,0,0.0
2022,4,Germany,HFRS,17,0,0.0
2022,5,Argentina,HPS,18,4,0.2222
2022,5,Chile,HPS,16,5,0.3125
2022,5,Brazil,HPS,17,5,0.2941
2022,5,USA,HPS,7,1,0.1429
2022,5,China,HFRS,3096,22,0.0071
2022,5,Finland,HFRS,59,0,0.0
2022,5,Germany,HFRS,94,0,0.0
2022,6,Argentina,HPS,27,8,0.2963
2022,6,Chile,HPS,15,5,0.3333
2022,6,Brazil,HPS,17,6,0.3529
2022,6,USA,HPS,4,1,0.25
2022,6,China,HFRS,1371,7,0.0051
2022,6,Finland,HFRS,42,0,0.0
2022,6,Germany,HFRS,210,1,0.0048
2022,7,Argentina,HPS,35,9,0.2571
2022,7,Chile,HPS,7,1,0.1429
2022,7,Brazil,HPS,24,9,0.375
2022,7,USA,HPS,5,1,0.2
2022,7,China,HFRS,536,2,0.0037
2022,7,Finland,HFRS,55,0,0.0
2022,7,Germany,HFRS,175,0,0.0
2022,8,Argentina,HPS,2,0,0.0
2022,8,Chile,HPS,9,2,0.2222
2022,8,Brazil,HPS,11,2,0.1818
2022,8,USA,HPS,1,0,0.0
